gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,32,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,160.3268,flydsl_mxmoe_g1_a4w4_32x128x256_nt_situv2_xcd2,0.011388,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,0.011388,160.3268,0,0,0,0,0,
gfx950,256,64,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,171.1588,flydsl_mxmoe_g1_a4w4_32x256x256_nt_situv2_xcd2,0.011398,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,0.011398,171.1588,0,0,0,0,0,
gfx950,256,128,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,201.0449,flydsl_mxmoe_g1_a4w4_64x256x256_nt_situv2_xcd4,0.011252,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_nt_sbm64,0.011252,201.0449,0,0,0,0,0,
gfx950,256,256,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,242.9892,flydsl_mxmoe_g1_a4w4_128x256x256_situv2,0.011257,0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x256_atomic_nt_sbm128,0.011257,242.9892,0,0,0,0,0,
gfx950,256,512,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,346.7092,flydsl_mxmoe_g1_a4w4_64x256x256_situv2,0.011234,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,0.011234,346.7092,0,0,0,0,0,
gfx950,256,1024,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,508.1686,flydsl_mxmoe_g1_a4w4_128x256x256_situv2,0.01121,0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x256_atomic_sbm128,0.01121,508.1686,0,0,0,0,0,
gfx950,256,2048,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,835.5705,flydsl_mxmoe_g1_a4w4_128x256x256_situv2,0.011218,0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x256_atomic_sbm128,0.011218,835.5705,0,0,0,0,0,
gfx950,256,4096,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,1542.9772,flydsl_mxmoe_g1_a4w4_128x256x256_situv2,0.011231,0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x128x256_atomic_sbm128,0.011231,1542.9772,0,0,0,0,0,
gfx950,256,8192,3584,3072,56,16,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,2870.0041,flydsl_mxmoe_g1_a4w4_128x256x256_situv2,0.011216,0,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x128_atomic_sbm128,0.011216,2870.0041,0,0,0,0,0,
gfx950,256,16384,3584,3072,56,15,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_bnt0,,,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_atomic_nt_sbm128,,,0,0,0,0,0,
gfx950,256,32768,3584,3072,56,15,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_bnt0,,,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_atomic_nt_sbm128,,,0,0,0,0,0,
gfx950,256,131072,3584,3072,56,15,ActivationType.Situv2,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_bnt0,,,flydsl_moe2_layout_afp4_wfp4_bf16_t128x256x256_atomic_nt_sbm128,,,0,0,0,0,0,
