M,N,K,a_dtype
16,34816,5120,fp6
16,34816,5120,fp8
32,34816,5120,fp4
32,34816,5120,fp6
32,34816,5120,fp8
64,34816,5120,fp4
64,34816,5120,fp6
64,34816,5120,fp8
128,34816,5120,fp4
128,34816,5120,fp6
128,34816,5120,fp8
256,34816,5120,fp4
256,34816,5120,fp6
256,34816,5120,fp8
512,34816,5120,fp4
512,34816,5120,fp6
512,34816,5120,fp8
1,5120,17408,fp4
1,5120,17408,fp6
1,5120,17408,fp8
2,5120,17408,fp4
2,5120,17408,fp6
2,5120,17408,fp8
4,5120,17408,fp4
4,5120,17408,fp6
4,5120,17408,fp8
8,5120,17408,fp4
8,5120,17408,fp6
8,5120,17408,fp8
16,5120,17408,fp4
16,5120,17408,fp6
16,5120,17408,fp8
32,5120,17408,fp4
32,5120,17408,fp6
32,5120,17408,fp8
64,5120,17408,fp4
64,5120,17408,fp6
64,5120,17408,fp8
128,5120,17408,fp4
128,5120,17408,fp6
128,5120,17408,fp8
256,5120,17408,fp4
256,5120,17408,fp6
256,5120,17408,fp8
512,5120,17408,fp4
512,5120,17408,fp6
512,5120,17408,fp8
1,576,7168,fp4
1,576,7168,fp6
1,576,7168,fp8
2,576,7168,fp4
2,576,7168,fp6
2,576,7168,fp8
4,576,7168,fp4
4,576,7168,fp6
4,576,7168,fp8
8,576,7168,fp4
8,576,7168,fp6
8,576,7168,fp8
16,576,7168,fp4
16,576,7168,fp6
16,576,7168,fp8
32,576,7168,fp4
32,576,7168,fp6
32,576,7168,fp8
64,576,7168,fp4
64,576,7168,fp6
64,576,7168,fp8
128,576,7168,fp4
128,576,7168,fp6
128,576,7168,fp8
256,576,7168,fp4
256,576,7168,fp6
256,576,7168,fp8
512,576,7168,fp4
512,576,7168,fp6
512,576,7168,fp8
1,1536,7168,fp4
1,1536,7168,fp6
1,1536,7168,fp8
2,1536,7168,fp4
2,1536,7168,fp6
2,1536,7168,fp8
4,1536,7168,fp4
4,1536,7168,fp6
4,1536,7168,fp8
8,1536,7168,fp4
8,1536,7168,fp6
8,1536,7168,fp8
16,1536,7168,fp4
16,1536,7168,fp6
16,1536,7168,fp8
32,1536,7168,fp4
32,1536,7168,fp6
32,1536,7168,fp8
64,1536,7168,fp4
64,1536,7168,fp6
64,1536,7168,fp8
128,1536,7168,fp4
128,1536,7168,fp6
128,1536,7168,fp8
256,1536,7168,fp4
256,1536,7168,fp6
256,1536,7168,fp8
512,1536,7168,fp4
512,1536,7168,fp6
512,1536,7168,fp8
1,2112,7168,fp4
1,2112,7168,fp6
1,2112,7168,fp8
2,2112,7168,fp4
2,2112,7168,fp6
2,2112,7168,fp8
4,2112,7168,fp4
4,2112,7168,fp6
4,2112,7168,fp8
8,2112,7168,fp4
8,2112,7168,fp6
8,2112,7168,fp8
16,2112,7168,fp4
16,2112,7168,fp6
16,2112,7168,fp8
32,2112,7168,fp4
32,2112,7168,fp6
32,2112,7168,fp8
64,2112,7168,fp4
64,2112,7168,fp6
64,2112,7168,fp8
128,2112,7168,fp4
128,2112,7168,fp6
128,2112,7168,fp8
256,2112,7168,fp4
256,2112,7168,fp6
256,2112,7168,fp8
512,2112,7168,fp4
512,2112,7168,fp6
512,2112,7168,fp8
1,7168,256,fp4
1,7168,256,fp6
1,7168,256,fp8
2,7168,256,fp4
2,7168,256,fp6
2,7168,256,fp8
4,7168,256,fp4
4,7168,256,fp6
4,7168,256,fp8
8,7168,256,fp4
8,7168,256,fp6
8,7168,256,fp8
16,7168,256,fp4
16,7168,256,fp6
16,7168,256,fp8
32,7168,256,fp4
32,7168,256,fp6
32,7168,256,fp8
64,7168,256,fp4
64,7168,256,fp6
64,7168,256,fp8
128,7168,256,fp4
128,7168,256,fp6
128,7168,256,fp8
256,7168,256,fp4
256,7168,256,fp6
256,7168,256,fp8
512,7168,256,fp4
512,7168,256,fp6
512,7168,256,fp8
1,512,7168,fp4
1,512,7168,fp6
1,512,7168,fp8
2,512,7168,fp4
2,512,7168,fp6
2,512,7168,fp8
4,512,7168,fp4
4,512,7168,fp6
4,512,7168,fp8
8,512,7168,fp4
8,512,7168,fp6
8,512,7168,fp8
16,512,7168,fp4
16,512,7168,fp6
16,512,7168,fp8
32,512,7168,fp4
32,512,7168,fp6
32,512,7168,fp8
64,512,7168,fp4
64,512,7168,fp6
64,512,7168,fp8
128,512,7168,fp4
128,512,7168,fp6
128,512,7168,fp8
256,512,7168,fp4
256,512,7168,fp6
256,512,7168,fp8
512,512,7168,fp4
512,512,7168,fp6
512,512,7168,fp8
1,1280,8192,fp4
1,1280,8192,fp6
1,1280,8192,fp8
2,1280,8192,fp4
2,1280,8192,fp6
2,1280,8192,fp8
4,1280,8192,fp4
4,1280,8192,fp6
4,1280,8192,fp8
8,1280,8192,fp4
8,1280,8192,fp6
8,1280,8192,fp8
16,1280,8192,fp4
16,1280,8192,fp6
16,1280,8192,fp8
32,1280,8192,fp4
32,1280,8192,fp6
32,1280,8192,fp8
64,1280,8192,fp4
64,1280,8192,fp6
64,1280,8192,fp8
128,1280,8192,fp4
128,1280,8192,fp6
128,1280,8192,fp8
256,1280,8192,fp4
256,1280,8192,fp6
256,1280,8192,fp8
512,1280,8192,fp4
512,1280,8192,fp6
512,1280,8192,fp8
1,8192,1024,fp4
1,8192,1024,fp6
1,8192,1024,fp8
2,8192,1024,fp4
2,8192,1024,fp6
2,8192,1024,fp8
4,8192,1024,fp4
4,8192,1024,fp6
4,8192,1024,fp8
8,8192,1024,fp4
8,8192,1024,fp6
8,8192,1024,fp8
16,8192,1024,fp4
16,8192,1024,fp6
16,8192,1024,fp8
32,8192,1024,fp4
32,8192,1024,fp6
32,8192,1024,fp8
64,8192,1024,fp4
64,8192,1024,fp6
64,8192,1024,fp8
128,8192,1024,fp4
128,8192,1024,fp6
128,8192,1024,fp8
256,8192,1024,fp4
256,8192,1024,fp6
256,8192,1024,fp8
512,8192,1024,fp4
512,8192,1024,fp6
512,8192,1024,fp8
1,16384,16384,fp4
1,16384,16384,fp6
1,16384,16384,fp8
2,16384,16384,fp4
2,16384,16384,fp6
2,16384,16384,fp8
4,16384,16384,fp4
4,16384,16384,fp6
4,16384,16384,fp8
8,16384,16384,fp4
8,16384,16384,fp6
8,16384,16384,fp8
16,16384,16384,fp4
16,16384,16384,fp6
16,16384,16384,fp8
32,16384,16384,fp4
32,16384,16384,fp6
32,16384,16384,fp8
64,16384,16384,fp4
64,16384,16384,fp6
64,16384,16384,fp8
128,16384,16384,fp4
128,16384,16384,fp6
128,16384,16384,fp8
256,16384,16384,fp4
256,16384,16384,fp6
256,16384,16384,fp8
512,16384,16384,fp4
512,16384,16384,fp6
512,16384,16384,fp8
1,16384,53248,fp4
1,16384,53248,fp6
1,16384,53248,fp8
2,16384,53248,fp4
2,16384,53248,fp6
2,16384,53248,fp8
4,16384,53248,fp4
4,16384,53248,fp6
4,16384,53248,fp8
8,16384,53248,fp4
8,16384,53248,fp6
8,16384,53248,fp8
16,16384,53248,fp4
16,16384,53248,fp6
16,16384,53248,fp8
32,16384,53248,fp4
32,16384,53248,fp6
32,16384,53248,fp8
64,16384,53248,fp4
64,16384,53248,fp6
64,16384,53248,fp8
128,16384,53248,fp4
128,16384,53248,fp6
128,16384,53248,fp8
256,16384,53248,fp4
256,16384,53248,fp6
256,16384,53248,fp8
512,16384,53248,fp4
512,16384,53248,fp6
512,16384,53248,fp8
1,18432,16384,fp4
1,18432,16384,fp6
1,18432,16384,fp8
2,18432,16384,fp4
2,18432,16384,fp6
2,18432,16384,fp8
4,18432,16384,fp4
4,18432,16384,fp6
4,18432,16384,fp8
8,18432,16384,fp4
8,18432,16384,fp6
8,18432,16384,fp8
16,18432,16384,fp4
16,18432,16384,fp6
16,18432,16384,fp8
32,18432,16384,fp4
32,18432,16384,fp6
32,18432,16384,fp8
64,18432,16384,fp4
64,18432,16384,fp6
64,18432,16384,fp8
128,18432,16384,fp4
128,18432,16384,fp6
128,18432,16384,fp8
256,18432,16384,fp4
256,18432,16384,fp6
256,18432,16384,fp8
512,18432,16384,fp4
512,18432,16384,fp6
512,18432,16384,fp8
1,106496,16384,fp4
1,106496,16384,fp6
1,106496,16384,fp8
2,106496,16384,fp4
2,106496,16384,fp6
2,106496,16384,fp8
4,106496,16384,fp4
4,106496,16384,fp6
4,106496,16384,fp8
8,106496,16384,fp4
8,106496,16384,fp6
8,106496,16384,fp8
16,106496,16384,fp4
16,106496,16384,fp6
16,106496,16384,fp8
32,106496,16384,fp4
32,106496,16384,fp6
32,106496,16384,fp8
64,106496,16384,fp4
64,106496,16384,fp6
64,106496,16384,fp8
128,106496,16384,fp4
128,106496,16384,fp6
128,106496,16384,fp8
256,106496,16384,fp4
256,106496,16384,fp6
256,106496,16384,fp8
512,106496,16384,fp4
512,106496,16384,fp6
512,106496,16384,fp8
1,7168,4608,fp4
1,7168,4608,fp6
1,7168,4608,fp8
2,7168,4608,fp4
2,7168,4608,fp6
2,7168,4608,fp8
4,7168,4608,fp4
4,7168,4608,fp6
4,7168,4608,fp8
8,7168,4608,fp4
8,7168,4608,fp6
8,7168,4608,fp8
16,7168,4608,fp4
16,7168,4608,fp6
16,7168,4608,fp8
32,7168,4608,fp4
32,7168,4608,fp6
32,7168,4608,fp8
64,7168,4608,fp4
64,7168,4608,fp6
64,7168,4608,fp8
128,7168,4608,fp4
128,7168,4608,fp6
128,7168,4608,fp8
256,7168,4608,fp4
256,7168,4608,fp6
256,7168,4608,fp8
512,7168,4608,fp4
512,7168,4608,fp6
512,7168,4608,fp8
1,9216,7168,fp4
1,9216,7168,fp6
1,9216,7168,fp8
2,9216,7168,fp4
2,9216,7168,fp6
2,9216,7168,fp8
4,9216,7168,fp4
4,9216,7168,fp6
4,9216,7168,fp8
8,9216,7168,fp4
8,9216,7168,fp6
8,9216,7168,fp8
16,9216,7168,fp4
16,9216,7168,fp6
16,9216,7168,fp8
32,9216,7168,fp4
32,9216,7168,fp6
32,9216,7168,fp8
64,9216,7168,fp4
64,9216,7168,fp6
64,9216,7168,fp8
128,9216,7168,fp4
128,9216,7168,fp6
128,9216,7168,fp8
256,9216,7168,fp4
256,9216,7168,fp6
256,9216,7168,fp8
512,9216,7168,fp4
512,9216,7168,fp6
512,9216,7168,fp8
1,7168,3584,fp4
1,7168,3584,fp6
1,7168,3584,fp8
2,7168,3584,fp4
2,7168,3584,fp6
2,7168,3584,fp8
4,7168,3584,fp4
4,7168,3584,fp6
4,7168,3584,fp8
8,7168,3584,fp4
8,7168,3584,fp6
8,7168,3584,fp8
16,7168,3584,fp4
16,7168,3584,fp6
16,7168,3584,fp8
32,7168,3584,fp4
32,7168,3584,fp6
32,7168,3584,fp8
64,7168,3584,fp4
64,7168,3584,fp6
64,7168,3584,fp8
128,7168,3584,fp4
128,7168,3584,fp6
128,7168,3584,fp8
256,7168,3584,fp4
256,7168,3584,fp6
256,7168,3584,fp8
512,7168,3584,fp4
512,7168,3584,fp6
512,7168,3584,fp8
1,3584,7168,fp4
1,3584,7168,fp6
1,3584,7168,fp8
2,3584,7168,fp4
2,3584,7168,fp6
2,3584,7168,fp8
4,3584,7168,fp4
4,3584,7168,fp6
4,3584,7168,fp8
8,3584,7168,fp4
8,3584,7168,fp6
8,3584,7168,fp8
16,3584,7168,fp4
16,3584,7168,fp6
16,3584,7168,fp8
32,3584,7168,fp4
32,3584,7168,fp6
32,3584,7168,fp8
64,3584,7168,fp4
64,3584,7168,fp6
64,3584,7168,fp8
128,3584,7168,fp4
128,3584,7168,fp6
128,3584,7168,fp8
256,3584,7168,fp4
256,3584,7168,fp6
256,3584,7168,fp8
512,3584,7168,fp4
512,3584,7168,fp6
512,3584,7168,fp8
1,1280,4096,fp4
1,1280,4096,fp6
1,1280,4096,fp8
2,1280,4096,fp4
2,1280,4096,fp6
2,1280,4096,fp8
4,1280,4096,fp4
4,1280,4096,fp6
4,1280,4096,fp8
8,1280,4096,fp4
8,1280,4096,fp6
8,1280,4096,fp8
16,1280,4096,fp4
16,1280,4096,fp6
16,1280,4096,fp8
32,1280,4096,fp4
32,1280,4096,fp6
32,1280,4096,fp8
64,1280,4096,fp4
64,1280,4096,fp6
64,1280,4096,fp8
128,1280,4096,fp4
128,1280,4096,fp6
128,1280,4096,fp8
256,1280,4096,fp4
256,1280,4096,fp6
256,1280,4096,fp8
512,1280,4096,fp4
512,1280,4096,fp6
512,1280,4096,fp8
1,2304,4096,fp4
1,2304,4096,fp6
1,2304,4096,fp8
2,2304,4096,fp4
2,2304,4096,fp6
2,2304,4096,fp8
4,2304,4096,fp4
4,2304,4096,fp6
4,2304,4096,fp8
8,2304,4096,fp4
8,2304,4096,fp6
8,2304,4096,fp8
16,2304,4096,fp4
16,2304,4096,fp6
16,2304,4096,fp8
32,2304,4096,fp4
32,2304,4096,fp6
32,2304,4096,fp8
64,2304,4096,fp4
64,2304,4096,fp6
64,2304,4096,fp8
128,2304,4096,fp4
128,2304,4096,fp6
128,2304,4096,fp8
256,2304,4096,fp4
256,2304,4096,fp6
256,2304,4096,fp8
512,2304,4096,fp4
512,2304,4096,fp6
512,2304,4096,fp8
1,4096,1024,fp4
1,4096,1024,fp6
1,4096,1024,fp8
2,4096,1024,fp4
2,4096,1024,fp6
2,4096,1024,fp8
4,4096,1024,fp4
4,4096,1024,fp6
4,4096,1024,fp8
8,4096,1024,fp4
8,4096,1024,fp6
8,4096,1024,fp8
16,4096,1024,fp4
16,4096,1024,fp6
16,4096,1024,fp8
32,4096,1024,fp4
32,4096,1024,fp6
32,4096,1024,fp8
64,4096,1024,fp4
64,4096,1024,fp6
64,4096,1024,fp8
128,4096,1024,fp4
128,4096,1024,fp6
128,4096,1024,fp8
256,4096,1024,fp4
256,4096,1024,fp6
256,4096,1024,fp8
512,4096,1024,fp4
512,4096,1024,fp6
512,4096,1024,fp8
1,4096,2048,fp4
1,4096,2048,fp6
1,4096,2048,fp8
2,4096,2048,fp4
2,4096,2048,fp6
2,4096,2048,fp8
4,4096,2048,fp4
4,4096,2048,fp6
4,4096,2048,fp8
8,4096,2048,fp4
8,4096,2048,fp6
8,4096,2048,fp8
16,4096,2048,fp4
16,4096,2048,fp6
16,4096,2048,fp8
32,4096,2048,fp4
32,4096,2048,fp6
32,4096,2048,fp8
64,4096,2048,fp4
64,4096,2048,fp6
64,4096,2048,fp8
128,4096,2048,fp4
128,4096,2048,fp6
128,4096,2048,fp8
256,4096,2048,fp4
256,4096,2048,fp6
256,4096,2048,fp8
512,4096,2048,fp4
512,4096,2048,fp6
512,4096,2048,fp8
1,4608,4096,fp4
1,4608,4096,fp6
1,4608,4096,fp8
2,4608,4096,fp4
2,4608,4096,fp6
2,4608,4096,fp8
4,4608,4096,fp4
4,4608,4096,fp6
4,4608,4096,fp8
8,4608,4096,fp4
8,4608,4096,fp6
8,4608,4096,fp8
16,4608,4096,fp4
16,4608,4096,fp6
16,4608,4096,fp8
32,4608,4096,fp4
32,4608,4096,fp6
32,4608,4096,fp8
64,4608,4096,fp4
64,4608,4096,fp6
64,4608,4096,fp8
128,4608,4096,fp4
128,4608,4096,fp6
128,4608,4096,fp8
256,4608,4096,fp4
256,4608,4096,fp6
256,4608,4096,fp8
512,4608,4096,fp4
512,4608,4096,fp6
512,4608,4096,fp8
1,9216,4096,fp4
1,9216,4096,fp6
1,9216,4096,fp8
2,9216,4096,fp4
2,9216,4096,fp6
2,9216,4096,fp8
4,9216,4096,fp4
4,9216,4096,fp6
4,9216,4096,fp8
8,9216,4096,fp4
8,9216,4096,fp6
8,9216,4096,fp8
16,9216,4096,fp4
16,9216,4096,fp6
16,9216,4096,fp8
32,9216,4096,fp4
32,9216,4096,fp6
32,9216,4096,fp8
64,9216,4096,fp4
64,9216,4096,fp6
64,9216,4096,fp8
128,9216,4096,fp4
128,9216,4096,fp6
128,9216,4096,fp8
256,9216,4096,fp4
256,9216,4096,fp6
256,9216,4096,fp8
512,9216,4096,fp4
512,9216,4096,fp6
512,9216,4096,fp8
