M,N,K,q_dtype_w
1536,7168,3072,mxfp8
1536,7168,7168,mxfp8
1536,7168,16384,mxfp8
1600,7168,384,mxfp8
1600,7168,3072,mxfp8
1600,7168,7168,mxfp8
1600,7168,16384,mxfp8
1664,7168,384,mxfp8
1664,7168,3072,mxfp8
1664,7168,7168,mxfp8
1664,7168,16384,mxfp8
1728,7168,384,mxfp8
1728,7168,3072,mxfp8
1728,7168,7168,mxfp8
1728,7168,16384,mxfp8
1792,7168,384,mxfp8
1792,7168,3072,mxfp8
1792,7168,7168,mxfp8
1792,7168,16384,mxfp8
1856,7168,384,mxfp8
1856,7168,3072,mxfp8
1856,7168,7168,mxfp8
1856,7168,16384,mxfp8
1920,7168,384,mxfp8
1920,7168,3072,mxfp8
1920,7168,7168,mxfp8
1920,7168,16384,mxfp8
1984,7168,384,mxfp8
1984,7168,3072,mxfp8
1984,7168,7168,mxfp8
1984,7168,16384,mxfp8
2048,7168,384,mxfp8
2048,7168,3072,mxfp8
2048,7168,7168,mxfp8
2048,7168,16384,mxfp8
4096,7168,384,mxfp8
4096,7168,3072,mxfp8
4096,7168,7168,mxfp8
4096,7168,16384,mxfp8
6144,7168,384,mxfp8
6144,7168,3072,mxfp8
6144,7168,7168,mxfp8
6144,7168,16384,mxfp8
8192,7168,384,mxfp8
8192,7168,3072,mxfp8
8192,7168,7168,mxfp8
8192,7168,16384,mxfp8
10240,7168,384,mxfp8
10240,7168,3072,mxfp8
10240,7168,7168,mxfp8
10240,7168,16384,mxfp8
12288,7168,384,mxfp8
12288,7168,3072,mxfp8
12288,7168,7168,mxfp8
12288,7168,16384,mxfp8
14336,7168,384,mxfp8
14336,7168,3072,mxfp8
14336,7168,7168,mxfp8
14336,7168,16384,mxfp8
16384,7168,384,mxfp8
16384,7168,3072,mxfp8
16384,7168,7168,mxfp8
16384,7168,16384,mxfp8
20480,7168,3072,mxfp8
20480,7168,7168,mxfp8
20480,7168,16384,mxfp8
24576,7168,3072,mxfp8
24576,7168,7168,mxfp8
24576,7168,16384,mxfp8
28672,7168,3072,mxfp8
28672,7168,7168,mxfp8
28672,7168,16384,mxfp8
32768,7168,384,mxfp8
32768,7168,3072,mxfp8
32768,7168,7168,mxfp8
32768,7168,16384,mxfp8
40960,7168,3072,mxfp8
40960,7168,7168,mxfp8
40960,7168,16384,mxfp8
49152,7168,3072,mxfp8
49152,7168,7168,mxfp8
49152,7168,16384,mxfp8
57344,7168,3072,mxfp8
57344,7168,7168,mxfp8
57344,7168,16384,mxfp8
65536,7168,3072,mxfp8
65536,7168,7168,mxfp8
65536,7168,16384,mxfp8
1,65536,1536,mxfp8
2,65536,1536,mxfp8
4,65536,1536,mxfp8
8,65536,1536,mxfp8
16,65536,1536,mxfp8
32,65536,1536,mxfp8
48,65536,1536,mxfp8
64,65536,1536,mxfp8
80,65536,1536,mxfp8
96,65536,1536,mxfp8
112,65536,1536,mxfp8
128,65536,1536,mxfp8
144,65536,1536,mxfp8
160,65536,1536,mxfp8
176,65536,1536,mxfp8
192,65536,1536,mxfp8
208,65536,1536,mxfp8
224,65536,1536,mxfp8
240,65536,1536,mxfp8
256,65536,1536,mxfp8
288,65536,1536,mxfp8
320,65536,1536,mxfp8
352,65536,1536,mxfp8
384,65536,1536,mxfp8
416,65536,1536,mxfp8
448,65536,1536,mxfp8
480,65536,1536,mxfp8
512,65536,1536,mxfp8
544,65536,1536,mxfp8
576,65536,1536,mxfp8
608,65536,1536,mxfp8
640,65536,1536,mxfp8
672,65536,1536,mxfp8
704,65536,1536,mxfp8
736,65536,1536,mxfp8
768,65536,1536,mxfp8
800,65536,1536,mxfp8
832,65536,1536,mxfp8
864,65536,1536,mxfp8
896,65536,1536,mxfp8
928,65536,1536,mxfp8
960,65536,1536,mxfp8
992,65536,1536,mxfp8
1024,65536,1536,mxfp8
1088,65536,1536,mxfp8
1152,65536,1536,mxfp8
1216,65536,1536,mxfp8
1280,65536,1536,mxfp8
1344,65536,1536,mxfp8
1408,65536,1536,mxfp8
1472,65536,1536,mxfp8
1536,65536,1536,mxfp8
1600,65536,1536,mxfp8
1664,65536,1536,mxfp8
1728,65536,1536,mxfp8
1792,65536,1536,mxfp8
1856,65536,1536,mxfp8
1920,65536,1536,mxfp8
1984,65536,1536,mxfp8
2048,65536,1536,mxfp8
4096,65536,1536,mxfp8
6144,65536,1536,mxfp8
8192,65536,1536,mxfp8
10240,65536,1536,mxfp8
12288,65536,1536,mxfp8
14336,65536,1536,mxfp8
16384,65536,1536,mxfp8
20480,65536,1536,mxfp8
24576,65536,1536,mxfp8
28672,65536,1536,mxfp8
32768,65536,1536,mxfp8
40960,65536,1536,mxfp8
49152,65536,1536,mxfp8
57344,65536,1536,mxfp8
65536,65536,1536,mxfp8
