gfx,cu_num,M,N,K,a_dtype,b_dtype,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,416,2048,7168,fp8,fp8,flydsl,2942,4,19.465,flydsl_mxpsh_128x128x256_F8_F8_B16_w2_x4_sk4,627.48,994.91,0.0
gfx950,256,448,2048,7168,fp8,fp8,flydsl,2958,4,19.4595,flydsl_mxpsh_128x128x256_F8_F8_B16_w4_x4_sk4,675.93,1013.71,0.0
gfx950,256,480,2048,7168,fp8,fp8,flydsl,2950,4,20.2405,flydsl_mxpsh_128x128x256_F8_F8_B16_w3_x4_sk4,696.27,992.41,0.0
gfx950,256,512,2048,7168,fp8,fp8,flydsl,2950,4,20.3694,flydsl_mxpsh_128x128x256_F8_F8_B16_w3_x4_sk4,737.99,1003.82,0.0
gfx950,256,544,2048,7168,fp8,fp8,flydsl,2694,4,24.4675,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x4_sk4,652.78,850.42,0.0
gfx950,256,576,2048,7168,fp8,fp8,flydsl,2694,4,24.3723,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x4_sk4,693.88,868.53,0.0
gfx950,256,608,2048,7168,fp8,fp8,flydsl,2686,4,24.6814,flydsl_mxpsh_96x128x256_F8_F8_B16_w0_x4_sk4,723.26,872.26,0.0
gfx950,256,640,2048,7168,fp8,fp8,flydsl,2702,4,25.1318,flydsl_mxpsh_96x128x256_F8_F8_B16_w2_x4_sk4,747.68,870.97,0.0
gfx950,256,672,2048,7168,fp8,fp8,flydsl,2702,4,26.1514,flydsl_mxpsh_96x128x256_F8_F8_B16_w2_x4_sk4,754.45,850.79,0.0
gfx950,256,704,2048,7168,fp8,fp8,flydsl,2694,4,24.4742,flydsl_mxpsh_96x128x256_F8_F8_B16_w1_x4_sk4,844.54,923.83,0.0
gfx950,256,736,2048,7168,fp8,fp8,flydsl,2702,4,25.8153,flydsl_mxpsh_96x128x256_F8_F8_B16_w2_x4_sk4,837.06,889.8,0.0
gfx950,256,768,2048,7168,fp8,fp8,flydsl,2718,4,26.4651,flydsl_mxpsh_96x128x256_F8_F8_B16_w4_x4_sk4,852.01,881.57,0.0
