gfx,case,tp,ep,G,K,N,M,use_hip,hip_us,triton_us,speedup
gfx950,gemm2_w2,1,2,64,3072,6144,128,0,765.38,672.2,0.878
gfx950,gemm2_w2,1,2,64,3072,6144,256,1,843.14,1254.41,1.488
gfx950,gemm2_w2,1,2,64,3072,6144,512,1,1532.59,2310.83,1.508
gfx950,gemm2_w2,1,4,32,3072,6144,16,0,345.56,169.54,0.491
gfx950,gemm2_w2,1,4,32,3072,6144,32,0,357.7,189.08,0.529
gfx950,gemm2_w2,1,4,32,3072,6144,64,0,382.22,215.08,0.563
gfx950,gemm2_w2,1,4,32,3072,6144,128,0,390.16,353.08,0.905
gfx950,gemm2_w2,1,4,32,3072,6144,256,1,435.14,641.8,1.475
gfx950,gemm2_w2,1,4,32,3072,6144,512,1,774.0,1179.53,1.524
gfx950,gemm2_w2,1,4,32,3072,6144,1024,1,1483.47,2211.81,1.491
gfx950,gemm2_w2,1,8,16,3072,6144,16,0,176.96,98.6,0.557
gfx950,gemm2_w2,1,8,16,3072,6144,32,0,183.28,106.72,0.582
gfx950,gemm2_w2,1,8,16,3072,6144,64,0,196.04,121.72,0.621
gfx950,gemm2_w2,1,8,16,3072,6144,128,0,200.54,190.84,0.952
gfx950,gemm2_w2,1,8,16,3072,6144,256,1,225.7,332.8,1.475
gfx950,gemm2_w2,1,8,16,3072,6144,512,1,395.0,608.46,1.54
gfx950,gemm2_w2,1,8,16,3072,6144,1024,1,742.78,1111.74,1.497
gfx950,gemm2_w2,1,8,16,3072,6144,2048,1,1367.09,2100.57,1.537
gfx950,gemm1_w13,2,1,128,6144,3072,16,0,1251.61,631.58,0.505
gfx950,gemm1_w13,2,1,128,6144,3072,32,0,1277.55,683.16,0.535
gfx950,gemm1_w13,2,1,128,6144,3072,64,0,1338.19,733.42,0.548
gfx950,gemm1_w13,2,1,128,6144,3072,128,0,1420.19,1376.81,0.969
gfx950,gemm1_w13,2,1,128,6144,3072,256,1,1593.89,2703.07,1.696
gfx950,gemm1_w13,2,2,64,6144,3072,16,0,635.7,327.76,0.516
gfx950,gemm1_w13,2,2,64,6144,3072,32,0,648.02,376.5,0.581
gfx950,gemm1_w13,2,2,64,6144,3072,64,0,679.06,432.9,0.637
gfx950,gemm1_w13,2,2,64,6144,3072,128,0,717.42,716.26,0.998
gfx950,gemm1_w13,2,2,64,6144,3072,256,1,832.14,1283.47,1.542
gfx950,gemm1_w13,2,2,64,6144,3072,512,1,1422.83,2534.87,1.782
gfx950,gemm1_w13,2,4,32,6144,3072,16,0,322.2,186.98,0.58
gfx950,gemm1_w13,2,4,32,6144,3072,32,0,328.74,207.14,0.63
gfx950,gemm1_w13,2,4,32,6144,3072,64,0,345.08,238.5,0.691
gfx950,gemm1_w13,2,4,32,6144,3072,128,1,364.58,376.34,1.032
gfx950,gemm1_w13,2,4,32,6144,3072,256,1,421.56,671.92,1.594
gfx950,gemm1_w13,2,4,32,6144,3072,512,1,729.9,1220.67,1.672
gfx950,gemm1_w13,2,4,32,6144,3072,1024,1,1308.25,2315.73,1.77
gfx950,gemm1_w13,2,8,16,6144,3072,16,0,169.22,118.22,0.699
gfx950,gemm1_w13,2,8,16,6144,3072,32,0,172.68,127.4,0.738
gfx950,gemm1_w13,2,8,16,6144,3072,64,0,179.78,144.62,0.804
gfx950,gemm1_w13,2,8,16,6144,3072,128,1,189.96,217.44,1.145
gfx950,gemm1_w13,2,8,16,6144,3072,256,1,220.28,349.46,1.586
gfx950,gemm1_w13,2,8,16,6144,3072,512,1,383.38,637.12,1.662
gfx950,gemm1_w13,2,8,16,6144,3072,1024,1,675.62,1147.95,1.699
gfx950,gemm1_w13,2,8,16,6144,3072,2048,1,1265.97,2177.37,1.72
gfx950,gemm2_w2,2,1,128,1536,6144,16,0,769.36,309.28,0.402
gfx950,gemm2_w2,2,1,128,1536,6144,32,0,814.0,303.98,0.373
gfx950,gemm2_w2,2,1,128,1536,6144,64,0,914.08,360.88,0.395
gfx950,gemm2_w2,2,1,128,1536,6144,128,0,935.1,599.36,0.641
gfx950,gemm2_w2,2,1,128,1536,6144,256,1,1072.07,1138.51,1.062
gfx950,gemm2_w2,2,2,64,1536,6144,16,0,393.7,164.42,0.418
gfx950,gemm2_w2,2,2,64,1536,6144,32,0,416.42,174.1,0.418
gfx950,gemm2_w2,2,2,64,1536,6144,64,0,464.32,185.2,0.399
gfx950,gemm2_w2,2,2,64,1536,6144,128,0,478.34,310.42,0.649
gfx950,gemm2_w2,2,2,64,1536,6144,256,1,538.34,581.54,1.08
gfx950,gemm2_w2,2,2,64,1536,6144,512,1,1029.36,1123.35,1.091
gfx950,gemm2_w2,2,4,32,1536,6144,16,0,199.04,84.32,0.424
gfx950,gemm2_w2,2,4,32,1536,6144,32,0,211.78,92.8,0.438
gfx950,gemm2_w2,2,4,32,1536,6144,64,0,236.2,103.82,0.44
gfx950,gemm2_w2,2,4,32,1536,6144,128,0,241.68,166.18,0.688
gfx950,gemm2_w2,2,4,32,1536,6144,256,1,276.64,298.34,1.078
gfx950,gemm2_w2,2,4,32,1536,6144,512,1,507.2,560.04,1.104
gfx950,gemm2_w2,2,4,32,1536,6144,1024,0,987.62,985.16,0.998
gfx950,gemm2_w2,2,8,16,1536,6144,16,0,101.48,47.72,0.47
gfx950,gemm2_w2,2,8,16,1536,6144,32,0,107.02,49.3,0.461
gfx950,gemm2_w2,2,8,16,1536,6144,64,0,119.16,52.76,0.443
gfx950,gemm2_w2,2,8,16,1536,6144,128,0,119.18,77.04,0.646
gfx950,gemm2_w2,2,8,16,1536,6144,256,1,127.12,133.96,1.054
gfx950,gemm2_w2,2,8,16,1536,6144,512,1,249.84,259.54,1.039
gfx950,gemm2_w2,2,8,16,1536,6144,1024,1,497.32,522.06,1.05
gfx950,gemm2_w2,2,8,16,1536,6144,2048,0,972.54,944.22,0.971
gfx950,gemm1_w13,4,1,128,6144,1536,16,0,636.2,329.54,0.518
gfx950,gemm1_w13,4,1,128,6144,1536,32,0,649.52,379.02,0.584
gfx950,gemm1_w13,4,1,128,6144,1536,64,0,683.7,435.4,0.637
gfx950,gemm1_w13,4,1,128,6144,1536,128,0,731.38,723.1,0.989
gfx950,gemm1_w13,4,1,128,6144,1536,256,1,858.28,1391.13,1.621
gfx950,gemm1_w13,4,2,64,6144,1536,16,0,322.76,186.02,0.576
gfx950,gemm1_w13,4,2,64,6144,1536,32,0,329.72,207.26,0.629
gfx950,gemm1_w13,4,2,64,6144,1536,64,0,346.6,237.82,0.686
gfx950,gemm1_w13,4,2,64,6144,1536,128,1,369.52,376.4,1.019
gfx950,gemm1_w13,4,2,64,6144,1536,256,1,436.4,673.78,1.544
gfx950,gemm1_w13,4,2,64,6144,1536,512,1,767.12,1307.05,1.704
gfx950,gemm1_w13,4,4,32,6144,1536,16,0,169.42,117.88,0.696
gfx950,gemm1_w13,4,4,32,6144,1536,32,0,173.16,126.9,0.733
gfx950,gemm1_w13,4,4,32,6144,1536,64,0,181.02,145.26,0.802
gfx950,gemm1_w13,4,4,32,6144,1536,128,1,193.76,216.72,1.118
gfx950,gemm1_w13,4,4,32,6144,1536,256,1,227.04,351.92,1.55
gfx950,gemm1_w13,4,4,32,6144,1536,512,1,399.3,643.46,1.611
gfx950,gemm1_w13,4,4,32,6144,1536,1024,1,737.26,1185.47,1.608
gfx950,gemm1_w13,4,8,16,6144,1536,16,0,85.9,54.94,0.64
gfx950,gemm1_w13,4,8,16,6144,1536,32,0,87.92,59.16,0.673
gfx950,gemm1_w13,4,8,16,6144,1536,64,0,91.12,67.4,0.74
gfx950,gemm1_w13,4,8,16,6144,1536,128,1,92.3,114.52,1.241
gfx950,gemm1_w13,4,8,16,6144,1536,256,1,96.16,177.0,1.841
gfx950,gemm1_w13,4,8,16,6144,1536,512,1,164.22,312.14,1.901
gfx950,gemm1_w13,4,8,16,6144,1536,1024,1,375.74,607.74,1.617
gfx950,gemm1_w13,4,8,16,6144,1536,2048,1,669.8,1119.01,1.671
gfx950,gemm2_w2,4,1,128,768,6144,16,0,520.78,174.06,0.334
gfx950,gemm2_w2,4,1,128,768,6144,32,0,566.2,170.24,0.301
gfx950,gemm2_w2,4,1,128,768,6144,64,0,661.98,198.88,0.3
gfx950,gemm2_w2,4,1,128,768,6144,128,0,676.78,332.54,0.491
gfx950,gemm2_w2,4,1,128,768,6144,256,0,762.7,627.9,0.823
gfx950,gemm2_w2,4,2,64,768,6144,16,0,266.1,91.8,0.345
gfx950,gemm2_w2,4,2,64,768,6144,32,0,290.5,96.54,0.332
gfx950,gemm2_w2,4,2,64,768,6144,64,0,336.88,103.3,0.307
gfx950,gemm2_w2,4,2,64,768,6144,128,0,345.76,174.5,0.505
gfx950,gemm2_w2,4,2,64,768,6144,256,0,389.88,326.5,0.837
gfx950,gemm2_w2,4,2,64,768,6144,512,0,737.22,593.58,0.805
gfx950,gemm2_w2,4,4,32,768,6144,16,0,131.8,46.12,0.35
gfx950,gemm2_w2,4,4,32,768,6144,32,0,143.3,47.86,0.334
gfx950,gemm2_w2,4,4,32,768,6144,64,0,167.02,50.76,0.304
gfx950,gemm2_w2,4,4,32,768,6144,128,0,167.46,78.56,0.469
gfx950,gemm2_w2,4,4,32,768,6144,256,0,198.18,137.18,0.692
gfx950,gemm2_w2,4,4,32,768,6144,512,0,375.88,306.88,0.816
gfx950,gemm2_w2,4,4,32,768,6144,1024,0,733.2,560.76,0.765
gfx950,gemm2_w2,4,8,16,768,6144,16,0,72.44,35.44,0.489
gfx950,gemm2_w2,4,8,16,768,6144,32,0,78.24,36.16,0.462
gfx950,gemm2_w2,4,8,16,768,6144,64,0,90.0,37.96,0.422
gfx950,gemm2_w2,4,8,16,768,6144,128,0,90.44,50.68,0.56
gfx950,gemm2_w2,4,8,16,768,6144,256,0,98.04,79.08,0.807
gfx950,gemm2_w2,4,8,16,768,6144,512,0,174.92,138.12,0.79
gfx950,gemm2_w2,4,8,16,768,6144,1024,0,360.5,234.54,0.651
gfx950,gemm2_w2,4,8,16,768,6144,2048,0,686.12,549.6,0.801
gfx950,gemm1_w13,8,1,128,6144,768,16,0,323.42,186.12,0.575
gfx950,gemm1_w13,8,1,128,6144,768,32,0,330.24,207.38,0.628
gfx950,gemm1_w13,8,1,128,6144,768,64,0,348.9,238.28,0.683
gfx950,gemm1_w13,8,1,128,6144,768,128,1,376.74,388.52,1.031
gfx950,gemm1_w13,8,1,128,6144,768,256,1,447.44,729.52,1.63
gfx950,gemm1_w13,8,2,64,6144,768,16,0,169.76,118.06,0.695
gfx950,gemm1_w13,8,2,64,6144,768,32,0,173.52,127.48,0.735
gfx950,gemm1_w13,8,2,64,6144,768,64,0,182.18,145.78,0.8
gfx950,gemm1_w13,8,2,64,6144,768,128,1,197.52,218.68,1.107
gfx950,gemm1_w13,8,2,64,6144,768,256,1,234.94,353.86,1.506
gfx950,gemm1_w13,8,2,64,6144,768,512,1,408.66,684.34,1.675
gfx950,gemm1_w13,8,4,32,6144,768,16,0,86.26,55.04,0.638
gfx950,gemm1_w13,8,4,32,6144,768,32,0,88.14,59.24,0.672
gfx950,gemm1_w13,8,4,32,6144,768,64,0,91.2,67.62,0.741
gfx950,gemm1_w13,8,4,32,6144,768,128,1,92.64,115.18,1.243
gfx950,gemm1_w13,8,4,32,6144,768,256,1,97.48,180.76,1.854
gfx950,gemm1_w13,8,4,32,6144,768,512,1,210.76,324.22,1.538
gfx950,gemm1_w13,8,4,32,6144,768,1024,1,388.66,617.22,1.588
gfx950,gemm1_w13,8,8,16,6144,768,16,0,84.44,53.06,0.628
gfx950,gemm1_w13,8,8,16,6144,768,32,0,85.88,57.38,0.668
gfx950,gemm1_w13,8,8,16,6144,768,64,0,89.04,66.26,0.744
gfx950,gemm1_w13,8,8,16,6144,768,128,0,89.4,67.68,0.757
gfx950,gemm1_w13,8,8,16,6144,768,256,1,92.18,115.52,1.253
gfx950,gemm1_w13,8,8,16,6144,768,512,1,95.84,179.78,1.876
gfx950,gemm1_w13,8,8,16,6144,768,1024,1,164.8,299.62,1.818
gfx950,gemm1_w13,8,8,16,6144,768,2048,1,379.66,590.34,1.555
gfx950,gemm2_w2,8,1,128,384,6144,16,0,402.2,99.8,0.248
gfx950,gemm2_w2,8,1,128,384,6144,32,0,448.54,105.82,0.236
gfx950,gemm2_w2,8,1,128,384,6144,64,0,542.8,124.58,0.23
gfx950,gemm2_w2,8,1,128,384,6144,128,0,548.72,212.96,0.388
gfx950,gemm2_w2,8,1,128,384,6144,256,0,624.66,400.34,0.641
gfx950,gemm2_w2,8,2,64,384,6144,16,0,196.28,49.5,0.252
gfx950,gemm2_w2,8,2,64,384,6144,32,0,219.36,51.28,0.234
gfx950,gemm2_w2,8,2,64,384,6144,64,0,266.52,55.52,0.208
gfx950,gemm2_w2,8,2,64,384,6144,128,0,275.08,92.54,0.336
gfx950,gemm2_w2,8,2,64,384,6144,256,0,314.1,206.72,0.658
gfx950,gemm2_w2,8,2,64,384,6144,512,0,612.52,379.5,0.62
gfx950,gemm2_w2,8,4,32,384,6144,16,0,105.08,35.2,0.335
gfx950,gemm2_w2,8,4,32,384,6144,32,0,116.74,36.44,0.312
gfx950,gemm2_w2,8,4,32,384,6144,64,0,140.28,38.52,0.275
gfx950,gemm2_w2,8,4,32,384,6144,128,0,140.6,55.6,0.395
gfx950,gemm2_w2,8,4,32,384,6144,256,0,152.6,90.46,0.593
gfx950,gemm2_w2,8,4,32,384,6144,512,0,304.92,161.04,0.528
gfx950,gemm2_w2,8,4,32,384,6144,1024,0,583.54,356.7,0.611
gfx950,gemm2_w2,8,8,16,384,6144,16,0,59.44,28.66,0.482
gfx950,gemm2_w2,8,8,16,384,6144,32,0,64.86,29.4,0.453
gfx950,gemm2_w2,8,8,16,384,6144,64,0,77.04,31.0,0.402
gfx950,gemm2_w2,8,8,16,384,6144,128,0,77.32,38.56,0.499
gfx950,gemm2_w2,8,8,16,384,6144,256,0,83.76,55.48,0.662
gfx950,gemm2_w2,8,8,16,384,6144,512,0,148.78,89.84,0.604
gfx950,gemm2_w2,8,8,16,384,6144,1024,0,280.34,148.1,0.528
gfx950,gemm2_w2,8,8,16,384,6144,2048,0,585.32,355.4,0.607
