gfx,cu_num,N,C,D,H,W,K,kT,kH,kW,stride_d,stride_h,stride_w,pad_d,pad_h,pad_w,dil_d,dil_h,dil_w,groups,bias,libtype,tile_m,tile_n,wave_m,wave_n,wgm,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,2,384,1,121,209,384,1,3,3,1,2,2,0,0,0,1,1,1,1,True,flydsl,64,192,2,2,8,1,96.5484,conv3d_implicit_t64x192_w2x2_g8,0.0,343.09,529.09
gfx950,256,1,384,3,62,106,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,64,64,2,2,8,1,115.5451,conv3d_implicit_t64x64_w2x2_g8,0.0,430.02,241.44
gfx950,256,1,384,3,62,106,32,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,32,32,1,2,1,1,80.1257,conv3d_implicit_t32x32_w1x2_g1,0.0,51.68,202.24
gfx950,256,1,16,3,62,106,384,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,64,64,2,2,1,1,19.066,conv3d_implicit_t64x64_w2x2_g1,0.0,108.59,301.85
gfx950,256,1,384,1,120,208,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,128,2,2,8,1,74.4001,conv3d_implicit_t128x128_w2x2_g8,0.0,445.22,404.31
gfx950,256,2,384,1,120,208,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,4,1,1,1,131.6508,conv3d_implicit_t128x192_w4x1_g1,0.0,503.22,446.9
gfx950,256,1,384,1,240,416,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,4,1,1,1,206.5733,conv3d_implicit_t128x192_w4x1_g1,0.0,641.41,563.2
gfx950,256,4,384,1,240,416,192,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,128,192,2,2,1,1,863.2563,conv3d_implicit_t128x192_w2x2_g1,0.0,613.95,534.48
gfx950,256,1,192,1,480,832,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,96,96,2,3,1,1,245.4595,conv3d_implicit_t96x96_w2x3_g1,0.0,539.8,938.5
gfx950,256,4,192,1,480,832,96,1,3,3,1,1,1,0,1,1,1,1,1,1,True,flydsl,96,96,2,3,1,1,1486.1705,conv3d_implicit_t96x96_w2x3_g1,0.0,356.62,619.35
gfx950,256,1,96,6,482,834,3,3,3,3,1,1,1,0,0,0,1,1,1,1,True,flydsl,96,32,1,2,1,1,780.0291,conv3d_implicit_t96x32_w1x2_g1,0.0,31.85,605.99
