gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,_tag
gfx950,128,1,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_bnt0_kw4_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_sbm32,,0,0,0,0,
gfx950,128,2,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,,0,0,0,0,
gfx950,128,4,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_xcd4_kw2_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,,0,0,0,0,
gfx950,128,8,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_atomic_nt_sbm32,,0,0,0,0,
gfx950,128,16,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_persist_nt_sbm32,,0,0,0,0,
gfx950,128,32,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_nt_sbm32,,0,0,0,0,
gfx950,128,64,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,,0,0,0,0,
gfx950,128,128,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,,0,0,0,0,
gfx950,128,256,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,,0,0,0,0,
gfx950,128,512,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,0,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_persist_nt_sbm64,,0,0,0,0,
gfx950,128,1024,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,0,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w2_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_persist_sbm128,,0,0,0,0,
gfx950,128,2048,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,128,0,0,flydsl_moe1_afp4_wfp4_bf16_t128x128x256_w3_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_persist_sbm128,,0,0,0,0,
gfx950,128,4096,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,0,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,,0,0,0,0,
gfx950,128,8192,4096,768,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,0,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_reduce_sbm64,,0,0,0,0,
gfx950,128,1,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w4_kw2_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_atomic_sbm32,,0,0,0,0,
gfx950,128,2,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_xcd4_kw2_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_reduce_sbm32,,0,0,0,0,
gfx950,128,4,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,,0,0,0,0,
gfx950,128,8,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_reduce_nt_sbm32,,0,0,0,0,
gfx950,128,16,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_reduce_nt_sbm32,,0,0,0,0,
gfx950,128,32,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_reduce_nt_sbm32,,0,0,0,0,
gfx950,128,64,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_persist_nt_sbm32,,0,0,0,0,
gfx950,128,128,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_nt_sbm32,,0,0,0,0,
gfx950,128,256,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,0,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,,0,0,0,0,
gfx950,128,512,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,0,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_persist_nt_sbm64,,0,0,0,0,
gfx950,128,1024,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,0,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_nt_sbm64,,0,0,0,0,
gfx950,128,2048,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,0,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x128x256_atomic_nt_sbm64,,0,0,0,0,
gfx950,128,4096,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,0,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,,0,0,0,0,
gfx950,128,8192,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,0,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_fp4,,0,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x128_atomic_sbm64,,0,0,0,0,
