gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,128,16384,4096,2048,54,0,155.4513,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1768.26,998.31,0.0
gfx950,128,16384,4096,4096,54,0,248.2657,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2214.38,709.57,0.0
gfx950,128,16384,4096,8192,54,0,453.7154,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2423.35,480.71,0.0
gfx950,128,16384,4608,4096,54,0,285.5176,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2166.15,679.42,0.0
gfx950,128,16384,9216,4096,54,0,579.5399,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2134.37,611.55,0.0
gfx950,128,32768,1280,4096,54,0,161.6453,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2125.63,950.33,0.0
gfx950,128,32768,2304,4096,54,0,295.7553,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2091.17,753.4,0.0
gfx950,128,32768,4096,1024,54,0,217.0721,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1266.3,1323.57,0.0
gfx950,128,32768,4096,2048,54,0,313.0769,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,1755.98,977.98,0.0
gfx950,128,32768,4096,4096,54,0,516.7185,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2127.87,665.61,0.0
gfx950,128,32768,4096,8192,54,0,923.8548,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2380.27,454.0,0.0
gfx950,128,32768,4608,4096,54,0,590.3877,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2095.15,641.17,0.0
gfx950,128,32768,9216,4096,54,0,1187.2293,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2083.76,581.15,0.0
