M,N,K
57353, 5120, 6144
57353, 5120, 17408
57353, 34816, 5120
57353, 16384, 5120
57353, 14336, 5120
57354, 5120, 6144
57354, 5120, 17408
57354, 34816, 5120
57354, 16384, 5120
57354, 14336, 5120
57386, 5120, 6144
57386, 5120, 17408
57386, 34816, 5120
57386, 16384, 5120
57386, 14336, 5120
57393, 5120, 6144
57393, 5120, 17408
57393, 34816, 5120
57393, 16384, 5120
57393, 14336, 5120
57394, 5120, 6144
57394, 5120, 17408
57394, 34816, 5120
57394, 16384, 5120
57394, 14336, 5120
57409, 5120, 6144
57409, 5120, 17408
57409, 34816, 5120
57409, 16384, 5120
57409, 14336, 5120
57449, 5120, 6144
57449, 5120, 17408
57449, 34816, 5120
57449, 16384, 5120
57449, 14336, 5120
57457, 5120, 6144
57457, 5120, 17408
57457, 34816, 5120
57457, 16384, 5120
57457, 14336, 5120
57569, 5120, 6144
57569, 5120, 17408
57569, 34816, 5120
57569, 16384, 5120
57569, 14336, 5120
57577, 5120, 6144
57577, 5120, 17408
57577, 34816, 5120
57577, 16384, 5120
57577, 14336, 5120
57582, 5120, 6144
57582, 5120, 17408
57582, 34816, 5120
57582, 16384, 5120
57582, 14336, 5120
58305, 5120, 6144
58305, 5120, 17408
58305, 34816, 5120
58305, 16384, 5120
58305, 14336, 5120
58833, 5120, 6144
58833, 5120, 17408
58833, 34816, 5120
58833, 16384, 5120
58833, 14336, 5120
60000, 5120, 6144
60000, 5120, 17408
60000, 34816, 5120
60000, 16384, 5120
60000, 14336, 5120
60008, 5120, 6144
60008, 5120, 17408
60008, 34816, 5120
60008, 16384, 5120
60008, 14336, 5120
60009, 5120, 6144
60009, 5120, 17408
60009, 34816, 5120
60009, 16384, 5120
60009, 14336, 5120
60010, 5120, 6144
60010, 5120, 17408
60010, 34816, 5120
60010, 16384, 5120
60010, 14336, 5120
60059, 5120, 6144
60059, 5120, 17408
60059, 34816, 5120
60059, 16384, 5120
60059, 14336, 5120
60060, 5120, 6144
60060, 5120, 17408
60060, 34816, 5120
60060, 16384, 5120
60060, 14336, 5120
61313, 5120, 6144
61313, 5120, 17408
61313, 34816, 5120
61313, 16384, 5120
61313, 14336, 5120
61444, 5120, 6144
61444, 5120, 17408
61444, 34816, 5120
61444, 16384, 5120
61444, 14336, 5120
64513, 5120, 6144
64513, 5120, 17408
64513, 34816, 5120
64513, 16384, 5120
