M,N,K,outdtype,bias,scale_block,bpreshuffle,scale_a_transposed
2048,2048,7168,torch.bfloat16,False,128,True,True
4096,2048,7168,torch.bfloat16,False,128,True,True
6144,2048,7168,torch.bfloat16,False,128,True,True
8192,2048,7168,torch.bfloat16,False,128,True,True
10240,2048,7168,torch.bfloat16,False,128,True,True
12288,2048,7168,torch.bfloat16,False,128,True,True
14336,2048,7168,torch.bfloat16,False,128,True,True
16384,2048,7168,torch.bfloat16,False,128,True,True
32768,2048,7168,torch.bfloat16,False,128,True,True
1,7168,384,torch.bfloat16,False,128,True,True
2,7168,384,torch.bfloat16,False,128,True,True
4,7168,384,torch.bfloat16,False,128,True,True
8,7168,384,torch.bfloat16,False,128,True,True
16,7168,384,torch.bfloat16,False,128,True,True
32,7168,384,torch.bfloat16,False,128,True,True
48,7168,384,torch.bfloat16,False,128,True,True
64,7168,384,torch.bfloat16,False,128,True,True
80,7168,384,torch.bfloat16,False,128,True,True
96,7168,384,torch.bfloat16,False,128,True,True
112,7168,384,torch.bfloat16,False,128,True,True
128,7168,384,torch.bfloat16,False,128,True,True
144,7168,384,torch.bfloat16,False,128,True,True
160,7168,384,torch.bfloat16,False,128,True,True
176,7168,384,torch.bfloat16,False,128,True,True
192,7168,384,torch.bfloat16,False,128,True,True
208,7168,384,torch.bfloat16,False,128,True,True
224,7168,384,torch.bfloat16,False,128,True,True
240,7168,384,torch.bfloat16,False,128,True,True
256,7168,384,torch.bfloat16,False,128,True,True
288,7168,384,torch.bfloat16,False,128,True,True
320,7168,384,torch.bfloat16,False,128,True,True
352,7168,384,torch.bfloat16,False,128,True,True
384,7168,384,torch.bfloat16,False,128,True,True
416,7168,384,torch.bfloat16,False,128,True,True
448,7168,384,torch.bfloat16,False,128,True,True
480,7168,384,torch.bfloat16,False,128,True,True
512,7168,384,torch.bfloat16,False,128,True,True
544,7168,384,torch.bfloat16,False,128,True,True
576,7168,384,torch.bfloat16,False,128,True,True
608,7168,384,torch.bfloat16,False,128,True,True
640,7168,384,torch.bfloat16,False,128,True,True
672,7168,384,torch.bfloat16,False,128,True,True
704,7168,384,torch.bfloat16,False,128,True,True
736,7168,384,torch.bfloat16,False,128,True,True
768,7168,384,torch.bfloat16,False,128,True,True
800,7168,384,torch.bfloat16,False,128,True,True
832,7168,384,torch.bfloat16,False,128,True,True
864,7168,384,torch.bfloat16,False,128,True,True
896,7168,384,torch.bfloat16,False,128,True,True
928,7168,384,torch.bfloat16,False,128,True,True
960,7168,384,torch.bfloat16,False,128,True,True
992,7168,384,torch.bfloat16,False,128,True,True
1024,7168,384,torch.bfloat16,False,128,True,True
1088,7168,384,torch.bfloat16,False,128,True,True
1152,7168,384,torch.bfloat16,False,128,True,True
1216,7168,384,torch.bfloat16,False,128,True,True
1280,7168,384,torch.bfloat16,False,128,True,True
1344,7168,384,torch.bfloat16,False,128,True,True
1408,7168,384,torch.bfloat16,False,128,True,True
1472,7168,384,torch.bfloat16,False,128,True,True
1536,7168,384,torch.bfloat16,False,128,True,True
1600,7168,384,torch.bfloat16,False,128,True,True
1664,7168,384,torch.bfloat16,False,128,True,True
1728,7168,384,torch.bfloat16,False,128,True,True
1792,7168,384,torch.bfloat16,False,128,True,True
1856,7168,384,torch.bfloat16,False,128,True,True
1920,7168,384,torch.bfloat16,False,128,True,True
1984,7168,384,torch.bfloat16,False,128,True,True
2048,7168,384,torch.bfloat16,False,128,True,True
4096,7168,384,torch.bfloat16,False,128,True,True
6144,7168,384,torch.bfloat16,False,128,True,True
8192,7168,384,torch.bfloat16,False,128,True,True
10240,7168,384,torch.bfloat16,False,128,True,True
12288,7168,384,torch.bfloat16,False,128,True,True
14336,7168,384,torch.bfloat16,False,128,True,True
16384,7168,384,torch.bfloat16,False,128,True,True
32768,7168,384,torch.bfloat16,False,128,True,True
