gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,352,5120,6144,ck,2,0,42.3056,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,523.48,879.89,0.0
gfx942,304,368,5120,6144,ck,2,0,43.5838,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,531.22,860.1,0.0
gfx942,304,384,5120,6144,ck,17,0,41.6183,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,580.49,907.02,0.0
gfx942,304,400,5120,6144,ck,2,0,44.3576,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,567.34,856.92,0.0
gfx942,304,416,5120,6144,ck,2,0,54.5641,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,479.66,701.43,0.0
gfx942,304,432,5120,6144,ck,2,0,44.193,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,615.01,871.97,0.0
gfx942,304,448,5120,6144,ck,2,0,44.0208,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,640.28,881.34,0.0
gfx942,304,464,5120,6144,ck,0,0,53.6846,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,543.78,727.57,0.0
gfx942,304,480,5120,6144,ck,0,0,54.3981,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,555.15,722.85,0.0
gfx942,304,496,5120,6144,ck,0,0,55.1354,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,565.98,717.94,0.0
gfx942,304,512,5120,6144,ck,0,0,57.137,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,563.77,697.37,0.0
gfx942,304,907,5120,6144,ck,14,0,93.9356,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1,607.47,493.08,0.0
gfx942,304,1024,5120,6144,ck,0,0,109.4572,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,588.58,440.67,0.0
gfx942,304,1027,5120,6144,ck,0,0,110.3849,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,585.35,437.41,0.0
gfx942,304,1088,5120,6144,ck,0,0,111.9148,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,611.64,440.36,0.0
gfx942,304,1151,5120,6144,ck,0,0,116.5967,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,621.07,431.53,0.0
gfx942,304,1216,5120,6144,ck,0,0,117.1012,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,653.32,438.77,0.0
gfx942,304,1594,5120,6144,ck,0,0,127.9082,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,784.05,450.11,0.0
gfx942,304,1814,5120,6144,ck,0,0,135.0145,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,845.29,453.12,0.0
gfx942,304,2048,5120,6144,ck,0,0,185.4086,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,694.95,350.64,0.0
