gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,4,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,263,4,6.585,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x8_ks4_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0144,10.19,2555.26
gfx950,256,8,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,239,4,6.7587,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks4_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0151,19.86,2496.86
gfx950,256,16,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,7.0615,auto,0.0,38.01,2403.71
gfx950,256,32,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,261,2,7.7991,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x8_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0031,68.84,2201.59
gfx950,256,48,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,234,1,8.6319,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,93.29,2011.96
gfx950,256,64,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,234,1,8.869,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x6_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,121.07,1980.34
gfx950,256,128,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,885,1,9.4377,flydsl_hgemm_abf16_wbf16_bf16_t32x64x128x4_ks1_w1x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,227.54,1944.34
gfx950,256,256,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1785,1,11.8753,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,361.67,1677.68
gfx950,256,16384,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,asm,10,1,212.203,_ZN5aiter24bf16gemm_bf16_tn_256x256E,0.0,1295.35,1027.81
gfx950,256,1,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,389,2,9.1339,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x8_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0042,4.13,4134.83
gfx950,256,1,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,203,4,11.32,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x3_ks4_w1x1x2_bias0_ktail0_gm0_pft_gfx950,0.0221,4.45,4448.07
gfx950,256,1,6144,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,195,2,14.6005,flydsl_hgemm_abf16_wbf16_bf16_t16x64x128x6_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0042,5.17,5172.57
gfx950,256,2,6144,3072,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,389,2,9.2764,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x8_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0042,8.14,4073.3
gfx950,256,2,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,216,4,11.4719,flydsl_hgemm_abf16_wbf16_bf16_t16x64x64x4_ks4_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0112,8.77,4390.96
