arch,dtype,K,V,BT,H,Hg,is_varlen,use_h0,store_fs,snapshot_bf16,state_bf16,T_flat,N,total_chunks,max_seq_chunks,BV,us
gfx942,torch.bfloat16,128,128,64,16,4,False,True,False,False,False,60000,1,938,938,32,2620.5
gfx942,torch.bfloat16,128,128,64,16,4,False,True,False,False,False,128000,1,2000,2000,32,5569.3
gfx942,torch.bfloat16,128,128,64,16,4,False,True,False,True,False,2500,1,40,40,64,152.9
gfx942,torch.bfloat16,128,128,64,16,4,False,True,False,True,False,60000,1,938,938,32,2482.5
gfx942,torch.bfloat16,128,128,64,16,4,False,True,False,True,False,128000,1,2000,2000,32,5266.9
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,False,False,8192,1,128,128,32,308.9
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,False,False,16384,2,256,128,64,521.7
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,False,False,24576,3,384,128,64,1006.9
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,False,False,32768,4,512,128,64,1027.6
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,False,False,40960,5,640,128,64,1024.5
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,False,False,49152,6,768,128,64,1514.3
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,False,False,57344,7,896,128,64,1530.9
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,False,False,65536,8,1024,128,64,2017.8
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,8192,1,128,128,32,304.5
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,16384,2,256,128,64,466.9
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,24576,3,384,128,64,921.2
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,32768,32,512,16,64,867.6
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,32768,16,512,32,64,885.5
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,32768,8,512,64,64,963.2
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,32768,4,512,128,64,953.3
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,40960,5,640,128,64,953.4
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,49152,6,768,128,64,1399.5
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,57344,7,896,128,64,1406.2
gfx942,torch.bfloat16,128,128,64,16,4,True,True,True,True,False,65536,8,1024,128,64,1897.6
gfx942,torch.bfloat16,128,128,64,32,8,False,True,False,False,False,2500,1,40,40,64,155.1
gfx942,torch.bfloat16,128,128,64,32,8,False,True,False,False,False,60000,1,938,938,64,3668.7
gfx942,torch.bfloat16,128,128,64,32,8,False,True,False,False,False,128000,1,2000,2000,64,7811.2
gfx942,torch.bfloat16,128,128,64,32,8,False,True,False,True,False,2500,1,40,40,64,154.6
gfx942,torch.bfloat16,128,128,64,32,8,False,True,False,True,False,60000,1,938,938,64,3371.2
gfx942,torch.bfloat16,128,128,64,32,8,False,True,False,True,False,128000,1,2000,2000,64,7150.2
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,False,False,8192,1,128,128,64,527.2
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,False,False,16384,2,256,128,64,1020.5
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,False,False,24576,3,384,128,64,1522.5
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,False,False,32768,4,512,128,64,2039.6
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,False,False,40960,5,640,128,64,2049.7
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,False,False,49152,6,768,128,64,2558.7
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,False,False,57344,7,896,128,64,3057.4
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,False,False,65536,8,1024,128,64,3605.0
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,8192,1,128,128,64,471.4
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,16384,2,256,128,64,947.3
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,24576,3,384,128,64,1406.2
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,32768,4,512,128,64,1910.8
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,40960,5,640,128,64,1904.4
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,49152,6,768,128,64,2376.2
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,57344,7,896,128,64,2818.6
gfx942,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,65536,8,1024,128,64,3400.0
gfx942,torch.bfloat16,128,128,64,64,16,False,True,False,False,False,2500,1,40,40,64,307.4
gfx942,torch.bfloat16,128,128,64,64,16,False,True,False,False,False,60000,1,938,938,64,7331.6
gfx942,torch.bfloat16,128,128,64,64,16,False,True,False,False,False,128000,1,2000,2000,64,15616.8
gfx942,torch.bfloat16,128,128,64,64,16,False,True,False,True,False,2500,1,40,40,64,288.3
gfx942,torch.bfloat16,128,128,64,64,16,False,True,False,True,False,60000,1,938,938,64,6738.9
gfx942,torch.bfloat16,128,128,64,64,16,False,True,False,True,False,128000,1,2000,2000,64,14365.6
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,False,False,8192,1,128,128,64,1031.0
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,False,False,16384,2,256,128,64,2030.4
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,False,False,24576,3,384,128,64,2570.4
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,False,False,32768,4,512,128,64,3592.8
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,False,False,40960,5,640,128,64,4070.7
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,False,False,49152,6,768,128,64,5089.9
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,False,False,57344,7,896,128,64,6074.7
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,False,False,65536,8,1024,128,64,6737.3
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,True,False,8192,1,128,128,64,944.1
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,True,False,16384,2,256,128,64,1881.0
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,True,False,24576,3,384,128,64,2370.9
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,True,False,32768,4,512,128,64,3372.7
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,True,False,40960,5,640,128,64,3804.9
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,True,False,49152,6,768,128,64,4716.1
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,True,False,57344,7,896,128,64,5628.3
gfx942,torch.bfloat16,128,128,64,64,16,True,True,True,True,False,65536,8,1024,128,64,6318.6
