gfx,cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,23748,4096,1024,54,0,88.4569,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2252.09,2360.47,0.0
gfx950,256,23751,9216,4096,54,0,426.9627,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4199.76,1183.46,0.0
gfx950,256,23753,9216,4096,54,0,424.7834,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4221.66,1189.63,0.0
gfx950,256,23755,1280,4096,54,0,70.196,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3548.48,1596.74,0.0
gfx950,256,23755,4096,1024,36,0,88.7193,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_64x1024E,2246.09,2354.17,0.0
gfx950,256,23759,9216,4096,54,0,424.561,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4224.94,1190.54,0.0
gfx950,256,23762,9216,4096,54,0,425.8337,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4212.84,1187.13,0.0
gfx950,256,23766,9216,4096,54,0,427.7955,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4194.23,1181.88,0.0
gfx950,256,23774,2304,4096,54,0,133.0238,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3373.23,1225.03,0.0
gfx950,256,23774,4096,2048,54,0,124.9589,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3191.94,1786.95,0.0
gfx950,256,23776,9216,4096,54,0,427.3563,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4200.31,1183.57,0.0
gfx950,256,23788,9216,4096,54,0,424.4402,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4231.3,1192.28,0.0
gfx950,256,23791,9216,4096,54,0,429.8461,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4178.61,1177.43,0.0
gfx950,256,23793,1280,4096,54,0,73.0576,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3414.95,1536.59,0.0
gfx950,256,23793,4096,1024,54,0,87.8022,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2273.18,2382.53,0.0
gfx950,256,23795,9216,4096,54,0,429.2431,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4185.19,1179.28,0.0
gfx950,256,23797,9216,4096,54,0,420.6508,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4271.03,1203.46,0.0
gfx950,256,23799,9216,4096,54,0,430.5911,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4172.79,1175.77,0.0
gfx950,256,23802,9216,4096,54,0,431.3514,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4165.96,1173.84,0.0
gfx950,256,23806,1280,4096,54,0,72.8661,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3425.79,1541.45,0.0
gfx950,256,23806,4096,1024,54,0,88.7476,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2250.19,2358.43,0.0
gfx950,256,23807,4608,4096,54,0,226.1472,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3973.89,1227.52,0.0
gfx950,256,23815,9216,4096,54,0,427.4249,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4206.52,1185.25,0.0
