cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,tflops,bw,xbf16,_tag
256,4,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,70.0571,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,70.0571,0,3.03,6778.32,0,
256,8,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,73.5062,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,73.5062,0,5.78,6461.1,0,
256,16,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,78.1401,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,78.1401,0,10.87,6079.52,0,
256,32,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,89.5595,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,89.5595,0,18.97,5307.08,0,
256,64,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,95.7356,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,95.7356,0,35.49,4969.85,0,
256,128,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,97.2076,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,97.2076,0,69.9,4904.7,0,
256,256,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,103.2961,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,103.2961,0,131.56,4634.64,0,
256,512,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,115.3773,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,115.3773,0,235.57,4183.43,0,
256,1024,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,211.4378,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,211.4378,0,257.09,2320.01,0,
256,2048,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,345.1372,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,345.1372,0,314.99,1466.85,0,
256,4096,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,608.2785,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,608.2785,0,357.46,884.01,0,
256,8192,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,1006.4097,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,1006.4097,0,432.1,596.81,0,
256,16384,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,1783.2552,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,1783.2552,0,487.72,407.38,0,
256,32768,5120,192,161,9,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,3018.9246,flydsl_moe1_afp8_wfp8_bf16_t32x64x128,0.0%,0.0,flydsl_moe2_afp8_wfp8_bf16_t32x128x64_atomic,0.0%,3018.9246,0,576.19,324.0,0,
