gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,4096,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,247.8184,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_xcd4_fp4,0.1%,159.01,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2,2.6%,406.8284,0,0,0,2137.83,2938.28
gfx950,256,8192,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,386.7705,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_xcd4_fp4,0.9%,282.22,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_sbm64,1.2%,668.9905,0,0,0,2600.13,1880.88
gfx950,256,16384,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,715.8345,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_xcd4_fp4,0.1%,574.9296,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2,2.6%,1290.7641,0,0,0,2695.24,1072.33
gfx950,256,32768,5120,2304,32,3,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1318.8618,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_xcd4_fp4,0.1%,1119.4776,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2,2.6%,2438.3394,0,0,0,2853.52,670.86
gfx950,256,1,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,18.335,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,1.2%,18.335,0,0,0,6.43,205884.32
gfx950,256,2,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,20.0025,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt,1.1%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_sbm16,1.1%,20.0025,0,0,0,11.8,188721.63
gfx950,256,4,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,26.8286,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_xcd4,1.1%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_nt_sbm16,1.1%,26.8286,0,0,0,17.59,140705.63
gfx950,256,8,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,42.4305,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_hpf_nt,1.1%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.1%,42.4305,0,0,0,22.24,88968.94
gfx950,256,16,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,71.6011,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_hpf_nt,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_sbm16,1.2%,71.6011,0,0,0,26.36,52724.32
gfx950,256,32,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,128.0271,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_hpf_nt_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x128_atomic_nt_sbm16,1.2%,128.0271,0,0,0,29.48,29488.8
gfx950,256,64,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,205.9218,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,205.9218,0,0,0,36.66,18336.36
gfx950,256,128,5120,640,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,284.7338,flydsl_mxmoe_g1_a4w4_16x128x256_f16in_nt_xcd2,1.2%,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,1.2%,284.7338,0,0,0,53.03,13264.46
