gfx,cu_num,M,N,K,outdtype,bias,bpreshuffle,libtype,kernelId,splitK,us,kernelName,errRatio,tflops,bw
gfx950,256,8192,2304,6144,torch.bfloat16,False,True,flydsl,298,1,167.0062,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,1388.74,612.17
gfx950,256,16384,2304,6144,torch.bfloat16,False,True,flydsl,298,1,267.8967,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,1731.48,710.41
gfx950,256,32768,2304,6144,torch.bfloat16,False,True,flydsl,298,1,472.871,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,1961.87,775.0
gfx950,256,1,2560,6144,torch.bfloat16,False,True,flydsl,143,1,9.4618,flydsl_mxfp8_bf16_bp1_bd1_t16x16x512x8_ks1_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,3.32,1663.52
gfx950,256,2,2560,6144,torch.bfloat16,False,True,flydsl,143,1,8.1303,flydsl_mxfp8_bf16_bp1_bd1_t16x16x512x8_ks1_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,7.74,1937.34
gfx950,256,4,2560,6144,torch.bfloat16,False,True,flydsl,646,8,9.3265,flydsl_mxfp8_bf16_bp1_bd1_t16x64x256x4_ksd_w1x1x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,13.49,1691.28
gfx950,256,8,2560,6144,torch.bfloat16,False,True,flydsl,133,3,9.7047,flydsl_mxfp8_bf16_bp1_bd1_t16x16x512x5_ksd_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,25.93,1630.01
gfx950,256,16,2560,6144,torch.bfloat16,False,True,flydsl,443,3,10.2301,flydsl_mxfp8_bf16_bp1_bd1_t16x32x512x5_ksd_w1x1x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,49.2,1555.1
gfx950,256,32,2560,6144,torch.bfloat16,False,True,flydsl,694,3,10.1396,flydsl_mxfp8_bf16_bp1_bd1_t16x64x512x5_ksd_w1x2x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,99.28,1586.76
gfx950,256,64,2560,6144,torch.bfloat16,False,True,flydsl,2370,3,11.7063,flydsl_mxfp8_bf16_bp1_bd1_t32x64x512x5_ksd_w1x2x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,171.98,1405.19
gfx950,256,128,2560,6144,torch.bfloat16,False,True,flydsl,5260,3,13.7044,flydsl_mxfp8_bf16_bp1_bd1_t64x64x512x4_ksd_w1x2x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,293.81,1252.91
gfx950,256,256,2560,6144,torch.bfloat16,False,True,flydsl,2137,1,16.2234,flydsl_mxfp8_bf16_bp1_bd1_t48x64x512x2_ks1_w1x2x4_mma16x16x128_bias0_gm0_pft_gfx950,0.0,496.39,1147.25
gfx950,256,512,2560,6144,torch.bfloat16,False,True,flydsl,1259,1,20.6763,flydsl_mxfp8_bf16_bp1_bd1_t48x64x512x2_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,778.97,1039.64
gfx950,256,1024,2560,6144,torch.bfloat16,False,True,flydsl,646,1,31.498,flydsl_mxfp8_bf16_bp1_bd1_t48x128x512x2_ks1_w1x2x2_mma16x16x128_bias0_gm0_pft_gfx950,0.0,1022.68,865.55
gfx950,256,2048,2560,6144,torch.bfloat16,False,True,flydsl,790,1,53.0313,flydsl_mxfp8_bf16_bp1_bd1_t96x256x512x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,1214.84,731.59
gfx950,256,4096,2560,6144,torch.bfloat16,False,True,flydsl,370,1,84.6413,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm0_phti_gfx950,0.0,1522.29,730.92
gfx950,256,8192,2560,6144,torch.bfloat16,False,True,flydsl,298,1,177.5783,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,1451.18,608.2
gfx950,256,16384,2560,6144,torch.bfloat16,False,True,flydsl,296,1,283.0329,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,1820.98,707.61
gfx950,256,32768,2560,6144,torch.bfloat16,False,True,flydsl,296,1,503.2741,flydsl_mxfp8_bf16_bp1_bd0_t256x256x128x2_ks1_w2x4x1_mma16x16x128_bias0_gm4_phti_gfx950,0.0,2048.17,764.65
gfx950,256,1,6144,128,torch.bfloat16,False,True,flydsl,4,1,3.8738,flydsl_mxfp8_bf16_bp1_bd1_t16x64x128x2_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,0.41,206.22
gfx950,256,2,6144,128,torch.bfloat16,False,True,flydsl,5,1,5.6088,flydsl_mxfp8_bf16_bp1_bd1_t16x64x128x2_ks1_w1x2x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,0.56,144.64
gfx950,256,4,6144,128,torch.bfloat16,False,True,flydsl,0,1,3.202,flydsl_mxfp8_bf16_bp1_bd1_t16x16x128x2_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,1.96,261.12
gfx950,256,8,6144,128,torch.bfloat16,False,True,flydsl,5,1,3.3303,flydsl_mxfp8_bf16_bp1_bd1_t16x64x128x2_ks1_w1x2x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,3.78,265.97
gfx950,256,1,6144,384,torch.bfloat16,False,True,flydsl,4,1,4.8257,flydsl_mxfp8_bf16_bp1_bd1_t16x16x128x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,0.98,491.53
gfx950,256,2,6144,384,torch.bfloat16,False,True,flydsl,4,1,6.0591,flydsl_mxfp8_bf16_bp1_bd1_t16x16x128x4_ks1_w1x1x1_mma16x16x128_bias0_gm0_pft_gfx950,0.0,1.56,393.56
